#t	x0	y0	x1	y1
0.168965	999.934082	399.990570	1194.557373	425.106964
0.170577	999.934143	399.990479	1194.453735	425.341980
0.172189	999.934204	399.990387	1194.349243	425.576752
0.173799	999.934265	399.990295	1194.243774	425.811279
0.175409	999.934326	399.990204	1194.137329	426.045563
0.177017	999.934387	399.990112	1194.029907	426.279602
0.178625	999.934448	399.990021	1193.921509	426.513367
0.180232	999.934509	399.989929	1193.812256	426.746887
0.181839	999.934570	399.989838	1193.702026	426.980133
0.183444	999.934631	399.989746	1193.590820	427.213135
0.185049	999.934692	399.989655	1193.478760	427.445862
0.186652	999.934753	399.989563	1193.365723	427.678345
0.188255	999.934814	399.989471	1193.251709	427.910553
0.189857	999.934875	399.989380	1193.136841	428.142487
0.191459	999.934937	399.989288	1193.020996	428.374146
0.193059	999.934998	399.989197	1192.904175	428.605530
0.194658	999.935059	399.989105	1192.786499	428.836639
0.196257	999.935120	399.989014	1192.667847	429.067474
0.197854	999.935181	399.988922	1192.548218	429.298035
0.199451	999.935242	399.988831	1192.427734	429.528320
0.201047	999.935303	399.988739	1192.306274	429.758301
0.202642	999.935364	399.988647	1192.183960	429.988007
0.204236	999.935425	399.988556	1192.060669	430.217438
0.205829	999.935486	399.988464	1191.936401	430.446564
0.207421	999.935547	399.988403	1191.811279	430.675415
0.209013	999.935608	399.988342	1191.685181	430.903961
0.210603	999.935669	399.988281	1191.558228	431.132233
0.212192	999.935730	399.988220	1191.430298	431.360199
0.213781	999.935791	399.988159	1191.301514	431.587860
0.215368	999.935852	399.988098	1191.171753	431.815216
0.216955	999.935913	399.988037	1191.041138	432.042267
0.218540	999.935974	399.987976	1190.909546	432.269012
0.220125	999.936035	399.987915	1190.777100	432.495453
0.221709	999.936096	399.987854	1190.643677	432.721588
0.223291	999.936157	399.987793	1190.509399	432.947418
0.224873	999.936218	399.987732	1190.374268	433.172943
0.226454	999.936279	399.987671	1190.238159	433.398163
0.228033	999.936340	399.987610	1190.101196	433.623077
0.229612	999.936401	399.987549	1189.963257	433.847656
0.231190	999.936462	399.987488	1189.824463	434.071930
0.232766	999.936523	399.987427	1189.684814	434.295868
0.234342	999.936584	399.987366	1189.544189	434.519501
0.235917	999.936646	399.987305	1189.402710	434.742798
0.237490	999.936707	399.987244	1189.260376	434.965759
0.239063	999.936768	399.987183	1189.117065	435.188416
0.240635	999.936829	399.987122	1188.972900	435.410736
0.242205	999.936890	399.987061	1188.827881	435.632721
0.243775	999.936951	399.987000	1188.682007	435.854370
0.245343	999.937012	399.986938	1188.535156	436.075684
0.246911	999.937073	399.986877	1188.387451	436.296661
0.248477	999.937134	399.986816	1188.238892	436.517303
0.250043	999.937195	399.986755	1188.089478	436.737610
0.251607	999.937256	399.986694	1187.939087	436.957581
0.253170	999.937317	399.986633	1187.787842	437.177216
